Vieta;Pults #;Vārds;Komanda;Kopējie Punkti;Kārtas Punkti;Apdomas Laiks (s);Milisekundes;Statuss
349;174;"Dalībnieks #174";"2. Galdiņš";0;0;8.97;8967;Bots
350;274;"Dalībnieks #274";"2. Galdiņš";0;0;9.45;9454;Bots
351;434;"Dalībnieks #434";"2. Galdiņš";0;0;9.72;9724;Bots
352;42;"Dalībnieks #42";"Gudrinieki";0;0;10.38;10381;Bots
353;328;"Dalībnieks #328";"VIP Galdiņš";0;0;10.50;10498;Bots
354;499;"Dalībnieks #499";"Čempioni";0;0;10.56;10556;Bots
355;225;"Dalībnieks #225";"3. Galdiņš";0;0;10.61;10605;Bots
356;216;"Dalībnieks #216";"4. Galdiņš";0;0;11.12;11117;Bots
357;43;"Dalībnieks #43";"1. Galdiņš";0;0;11.12;11124;Bots
358;15;"Dalībnieks #15";"3. Galdiņš";0;0;11.72;11719;Bots
359;449;"Dalībnieks #449";"Čempioni";0;0;12.42;12421;Bots
360;492;"Dalībnieks #492";"Gudrinieki";0;0;13.11;13105;Bots
361;139;"Dalībnieks #139";"Čempioni";0;0;13.54;13543;Bots
362;315;"Dalībnieks #315";"3. Galdiņš";0;0;14.10;14098;Bots
363;366;"Dalībnieks #366";"4. Galdiņš";0;0;14.66;14658;Bots
364;160;"Dalībnieks #160";"Ātrie Prāti";0;0;14.89;14889;Bots
365;416;"Dalībnieks #416";"4. Galdiņš";0;0;15.21;15207;Bots
366;451;"Dalībnieks #451";"Zelta Bulta";0;0;15.51;15508;Bots
367;355;"Dalībnieks #355";"3. Galdiņš";0;0;17.09;17094;Bots
368;481;"Dalībnieks #481";"Zelta Bulta";0;0;17.23;17234;Bots
369;399;"Dalībnieks #399";"Čempioni";0;0;17.24;17244;Bots
370;411;"Dalībnieks #411";"Zelta Bulta";0;0;17.61;17611;Bots
371;129;"Dalībnieks #129";"Čempioni";0;0;17.63;17633;Bots
372;367;"Dalībnieks #367";"5. Galdiņš";0;0;17.76;17757;Bots
373;107;"Dalībnieks #107";"5. Galdiņš";0;0;17.78;17779;Bots
374;309;"Dalībnieks #309";"Čempioni";0;0;18.13;18130;Bots
375;207;"Dalībnieks #207";"5. Galdiņš";0;0;18.33;18329;Bots
376;161;"Dalībnieks #161";"Zelta Bulta";0;0;18.44;18443;Bots
377;141;"Dalībnieks #141";"Zelta Bulta";0;0;18.45;18454;Bots
378;378;"Dalībnieks #378";"VIP Galdiņš";0;0;19.17;19166;Bots
379;286;"Dalībnieks #286";"4. Galdiņš";0;0;19.31;19313;Bots
380;487;"Dalībnieks #487";"5. Galdiņš";0;0;19.83;19831;Bots
381;217;"Dalībnieks #217";"5. Galdiņš";0;0;20.09;20094;Bots
382;432;"Dalībnieks #432";"Gudrinieki";0;0;20.21;20209;Bots
383;53;"Dalībnieks #53";"1. Galdiņš";0;0;20.24;20236;Bots
384;443;"Dalībnieks #443";"1. Galdiņš";0;0;20.50;20503;Bots
385;408;"Dalībnieks #408";"VIP Galdiņš";0;0;20.74;20744;Bots
386;214;"Dalībnieks #214";"2. Galdiņš";0;0;21.66;21660;Bots
387;393;"Dalībnieks #393";"1. Galdiņš";0;0;21.78;21780;Bots
388;75;"Dalībnieks #75";"3. Galdiņš";0;0;21.79;21793;Bots
389;469;"Dalībnieks #469";"Čempioni";0;0;22.20;22196;Bots
390;348;"Dalībnieks #348";"VIP Galdiņš";0;0;22.23;22229;Bots
391;396;"Dalībnieks #396";"4. Galdiņš";0;0;22.29;22294;Bots
392;352;"Dalībnieks #352";"Gudrinieki";0;0;22.31;22309;Bots
393;123;"Dalībnieks #123";"1. Galdiņš";0;0;22.32;22317;Bots
394;374;"Dalībnieks #374";"2. Galdiņš";0;0;22.90;22904;Bots
395;26;"Dalībnieks #26";"4. Galdiņš";0;0;24.21;24207;Bots
396;472;"Dalībnieks #472";"Gudrinieki";0;0;24.47;24468;Bots
397;88;"Dalībnieks #88";"VIP Galdiņš";0;0;24.87;24872;Bots
398;327;"Dalībnieks #327";"5. Galdiņš";0;0;25.07;25074;Bots
399;361;"Dalībnieks #361";"Zelta Bulta";0;0;25.14;25137;Bots
400;138;"Dalībnieks #138";"VIP Galdiņš";0;0;25.15;25154;Bots
401;250;"Dalībnieks #250";"Ātrie Prāti";0;0;25.31;25313;Bots
402;489;"Dalībnieks #489";"Čempioni";0;0;25.51;25512;Bots
403;13;"Dalībnieks #13";"1. Galdiņš";0;0;25.57;25567;Bots
404;407;"Dalībnieks #407";"5. Galdiņš";0;0;25.67;25669;Bots
405;14;"Dalībnieks #14";"2. Galdiņš";0;0;25.95;25954;Bots
406;502;"Dalībnieks #502";"Gudrinieki";0;0;26.27;26275;Bots
407;57;"Dalībnieks #57";"5. Galdiņš";0;0;26.77;26767;Bots
408;104;"Dalībnieks #104";"2. Galdiņš";0;0;26.93;26935;Bots
409;22;"Dalībnieks #22";"Gudrinieki";0;0;27.26;27262;Bots
410;4;"Dalībnieks #4";"2. Galdiņš";0;0;27.64;27635;Bots
411;109;"Dalībnieks #109";"Čempioni";0;0;27.80;27803;Bots
412;228;"Dalībnieks #228";"VIP Galdiņš";0;0;28.10;28102;Bots
413;38;"Dalībnieks #38";"VIP Galdiņš";0;0;28.32;28315;Bots
414;410;"Dalībnieks #410";"Ātrie Prāti";0;0;28.42;28424;Bots
415;49;"Dalībnieks #49";"Čempioni";0;0;28.89;28885;Bots
416;90;"Dalībnieks #90";"Ātrie Prāti";0;0;28.91;28910;Bots
417;471;"Dalībnieks #471";"Zelta Bulta";0;0;28.92;28916;Bots
418;178;"Dalībnieks #178";"VIP Galdiņš";0;0;28.95;28947;Bots
419;94;"Dalībnieks #94";"2. Galdiņš";0;0;29.05;29055;Bots
420;92;"Dalībnieks #92";"Gudrinieki";0;0;29.22;29216;Bots
421;325;"Dalībnieks #325";"3. Galdiņš";0;0;29.28;29283;Bots
422;41;"Dalībnieks #41";"Zelta Bulta";0;0;29.38;29378;Bots
423;175;"Dalībnieks #175";"3. Galdiņš";0;0;29.43;29429;Bots
424;142;"Dalībnieks #142";"Gudrinieki";0;0;29.46;29457;Bots
425;335;"Dalībnieks #335";"3. Galdiņš";0;0;29.57;29575;Bots
426;148;"Dalībnieks #148";"VIP Galdiņš";0;0;29.58;29577;Bots
427;273;"Dalībnieks #273";"1. Galdiņš";0;0;29.67;29673;Bots
428;204;"Dalībnieks #204";"2. Galdiņš";0;0;29.76;29760;Bots
429;189;"Dalībnieks #189";"Čempioni";0;0;29.96;29965;Bots
430;450;"Dalībnieks #450";"Ātrie Prāti";0;0;30.13;30131;Bots
431;501;"Dalībnieks #501";"Zelta Bulta";0;0;30.22;30217;Bots
432;406;"Dalībnieks #406";"4. Galdiņš";0;0;30.56;30556;Bots
433;351;"Dalībnieks #351";"Zelta Bulta";0;0;31.00;30995;Bots
434;338;"Dalībnieks #338";"VIP Galdiņš";0;0;31.10;31102;Bots
435;296;"Dalībnieks #296";"4. Galdiņš";0;0;31.21;31208;Bots
436;494;"Dalībnieks #494";"2. Galdiņš";0;0;31.36;31355;Bots
437;125;"Dalībnieks #125";"3. Galdiņš";0;0;31.62;31620;Bots
438;87;"Dalībnieks #87";"5. Galdiņš";0;0;32.17;32175;Bots
439;477;"Dalībnieks #477";"5. Galdiņš";0;0;32.28;32281;Bots
440;209;"Dalībnieks #209";"Čempioni";0;0;32.48;32475;Bots
441;417;"Dalībnieks #417";"5. Galdiņš";0;0;32.86;32858;Bots
442;192;"Dalībnieks #192";"Gudrinieki";0;0;33.00;32996;Bots
443;381;"Dalībnieks #381";"Zelta Bulta";0;0;33.04;33042;Bots
444;44;"Dalībnieks #44";"2. Galdiņš";0;0;33.13;33134;Bots
445;301;"Dalībnieks #301";"Zelta Bulta";0;0;33.31;33307;Bots
446;215;"Dalībnieks #215";"3. Galdiņš";0;0;33.73;33731;Bots
447;340;"Dalībnieks #340";"Ātrie Prāti";0;0;33.76;33762;Bots
448;21;"Dalībnieks #21";"Zelta Bulta";0;0;33.84;33839;Bots
449;385;"Dalībnieks #385";"3. Galdiņš";0;0;34.00;34001;Bots
450;413;"Dalībnieks #413";"1. Galdiņš";0;0;34.27;34266;Bots
451;156;"Dalībnieks #156";"4. Galdiņš";0;0;34.66;34662;Bots
452;56;"Dalībnieks #56";"4. Galdiņš";0;0;34.92;34924;Bots
453;269;"Dalībnieks #269";"Čempioni";0;0;35.02;35022;Bots
454;359;"Dalībnieks #359";"Čempioni";0;0;35.34;35344;Bots
455;145;"Dalībnieks #145";"3. Galdiņš";0;0;35.69;35685;Bots
456;25;"Dalībnieks #25";"3. Galdiņš";0;0;35.72;35724;Bots
457;266;"Dalībnieks #266";"4. Galdiņš";0;0;35.75;35753;Bots
458;478;"Dalībnieks #478";"VIP Galdiņš";0;0;35.88;35882;Bots
459;131;"Dalībnieks #131";"Zelta Bulta";0;0;36.52;36518;Bots
460;485;"Dalībnieks #485";"3. Galdiņš";0;0;36.65;36649;Bots
461;457;"Dalībnieks #457";"5. Galdiņš";0;0;37.04;37043;Bots
462;177;"Dalībnieks #177";"5. Galdiņš";0;0;37.62;37621;Bots
463;278;"Dalībnieks #278";"VIP Galdiņš";0;0;37.71;37711;Bots
464;453;"Dalībnieks #453";"1. Galdiņš";0;0;38.11;38109;Bots
465;414;"Dalībnieks #414";"2. Galdiņš";0;0;38.14;38139;Bots
466;369;"Dalībnieks #369";"Čempioni";0;0;38.15;38154;Bots
467;66;"Dalībnieks #66";"4. Galdiņš";0;0;38.46;38456;Bots
468;280;"Dalībnieks #280";"Ātrie Prāti";0;0;38.80;38797;Bots
469;234;"Dalībnieks #234";"2. Galdiņš";0;0;39.01;39014;Bots
470;67;"Dalībnieks #67";"5. Galdiņš";0;0;39.89;39890;Bots
471;105;"Dalībnieks #105";"3. Galdiņš";0;0;39.94;39943;Bots
472;265;"Dalībnieks #265";"3. Galdiņš";0;0;40.25;40252;Bots
473;152;"Dalībnieks #152";"Gudrinieki";0;0;40.46;40457;Bots
474;254;"Dalībnieks #254";"2. Galdiņš";0;0;40.83;40828;Bots
475;341;"Dalībnieks #341";"Zelta Bulta";0;0;40.89;40888;Bots
476;438;"Dalībnieks #438";"VIP Galdiņš";0;0;41.35;41346;Bots
477;299;"Dalībnieks #299";"Čempioni";0;0;41.49;41486;Bots
478;253;"Dalībnieks #253";"1. Galdiņš";0;0;41.52;41522;Bots
479;45;"Dalībnieks #45";"3. Galdiņš";0;0;41.53;41526;Bots
480;162;"Dalībnieks #162";"Gudrinieki";0;0;41.71;41710;Bots
481;96;"Dalībnieks #96";"4. Galdiņš";0;0;41.92;41923;Bots
482;221;"Dalībnieks #221";"Zelta Bulta";0;0;42.08;42075;Bots
483;71;"Dalībnieks #71";"Zelta Bulta";0;0;42.28;42284;Bots
484;146;"Dalībnieks #146";"4. Galdiņš";0;0;42.39;42386;Bots
485;52;"Dalībnieks #52";"Gudrinieki";0;0;42.52;42520;Bots
486;223;"Dalībnieks #223";"1. Galdiņš";0;0;42.65;42648;Bots
487;345;"Dalībnieks #345";"3. Galdiņš";0;0;42.94;42937;Bots
488;295;"Dalībnieks #295";"3. Galdiņš";0;0;43.02;43023;Bots
489;346;"Dalībnieks #346";"4. Galdiņš";0;0;43.15;43149;Bots
490;17;"Dalībnieks #17";"5. Galdiņš";0;0;45.18;45183;Bots
491;437;"Dalībnieks #437";"5. Galdiņš";0;0;45.91;45908;Bots
492;81;"Dalībnieks #81";"Zelta Bulta";0;0;46.90;46895;Bots
493;8;"Dalībnieks #8";"VIP Galdiņš";0;0;46.95;46946;Bots
494;113;"Dalībnieks #113";"1. Galdiņš";0;0;47.03;47034;Bots
495;329;"Dalībnieks #329";"Čempioni";0;0;48.50;48501;Bots
496;100;"Dalībnieks #100";"Ātrie Prāti";0;0;48.56;48560;Bots
497;308;"Dalībnieks #308";"VIP Galdiņš";0;0;49.00;48996;Bots
498;101;"Dalībnieks #101";"Zelta Bulta";0;0;49.09;49092;Bots
499;276;"Dalībnieks #276";"4. Galdiņš";0;0;51.09;51091;Bots
500;210;"Dalībnieks #210";"Ātrie Prāti";0;0;52.05;52051;Bots
501;358;"Dalībnieks #358";"VIP Galdiņš";0;0;52.95;52953;Bots
502;133;"Dalībnieks #133";"1. Galdiņš";0;0;56.27;56267;Bots
